"titulo","url","categoria"
"CVV busca voluntários em Santos para ampliar atendimento no Setembro Amarelo","https://www.atribuna.com.br/cidades/santos/cvv-busca-voluntarios-em-santos-para-ampliar-atendimento-no-setembro-amarelo-1.528133","Voluntariado"
"‘Castelo’, funcionário conhecido do Restaurante Almeida, morre aos 82 anos em Santos","https://www.atribuna.com.br/cidades/santos/castelo-funcionario-conhecido-do-restaurante-almeida-morre-aos-82-anos-em-santos-1.528204","Despedida"
"Santos abre pré-inscrição para escolas municipais em 2027; veja quem pode fazer","https://www.atribuna.com.br/cidades/santos/santos-abre-pre-inscric-o-para-escolas-municipais-em-2027-veja-quem-pode-fazer-1.528143","Educação"
"Casal que fez casamento temático de Harry Potter em Santos planeja renovação de votos com investimento de R$ 100 mil","https://www.atribuna.com.br/cidades/santos/casal-que-fez-casamento-tematico-de-harry-potter-em-santos-planeja-renovac-o-de-votos-com-investimento-de-r-100-mil-1.527830","Casamento temático"
"André Mendonça, ministro do STF que tirou sigilo de mensagens entre Alexandre de Moraes e Vorcaro, é de Santos; conheça","https://www.atribuna.com.br/cidades/santos/andre-mendonca-ministro-do-stf-que-tirou-sigilo-de-mensagens-entre-alexandre-de-moraes-e-vorcaro-e-de-santos-conheca-1.528104","Banco Master"
"Santos oferece mais de 80 vagas para cursos gratuitos de artesanato, culinária e maquiagem; veja como se inscrever","https://www.atribuna.com.br/cidades/santos/santos-oferece-mais-de-80-vagas-para-cursos-gratuitos-de-artesanato-culinaria-e-maquiagem-veja-como-se-inscrever-1.527938","Qualificação"
"Santos tem nova lei que permite terapia assistida com cães; veja como funciona","https://www.atribuna.com.br/cidades/santos/santos-tem-nova-lei-que-permite-terapia-assistida-com-c-es-veja-como-funciona-1.527988","Lei sancionada"
"Santos dá desconto no IPTU de até R$ 100; saiba como conseguir o benefício","https://www.atribuna.com.br/cidades/santos/santos-da-desconto-no-iptu-de-ate-r-100-saiba-como-conseguir-o-beneficio-1.527758","Imposto"
"Eleições 2026: Santos terá sabatinas com candidatos à Presidência, Governo de São Paulo e Senado","https://www.atribuna.com.br/cidades/santos/eleic-es-2026-santos-tera-sabatinas-com-candidatos-a-presidencia-governo-de-s-o-paulo-e-senado-1.527874","Santos"
"Festival da Tilápia começa nesta terça-feira em Santos","https://www.atribuna.com.br/cidades/santos/festival-da-tilapia-comeca-nesta-terca-feira-em-santos-1.527763","preços convidativos"
"Nova lei em Santos garante intérprete de Libras para gestantes surdas durante parto","https://www.atribuna.com.br/cidades/santos/nova-lei-em-santos-garante-interprete-de-libras-para-gestantes-surdas-durante-parto-1.527063","Sancionada"
"Moradores de Santos podem pagar menos IPTU em 2027","https://www.atribuna.com.br/cidades/santos/moradores-de-santos-podem-pagar-menos-iptu-em-2027-1.527030","iptu mais barato"
"Preparativos à festa da Padroeira em Santos já movimentam o Monte Serrat","https://www.atribuna.com.br/cidades/santos/preparativos-a-festa-da-padroeira-em-santos-ja-movimentam-o-monte-serrat-1.526975","Tradição"
"Ondas acima de 3 metros atingem o litoral de São Paulo e fecham o maior porto do Hemisfério Sul","https://www.atribuna.com.br/cidades/santos/ondas-acima-de-3-metros-atingem-o-litoral-de-s-o-paulo-e-fecham-o-maior-porto-do-hemisferio-sul-1.527027","Maré agitada"
"Santos ganha nova estação para reforçar reciclagem em área com mais de 7 mil metros quadrados","https://www.atribuna.com.br/cidades/santos/santos-ganha-nova-estac-o-para-reforcar-reciclagem-em-area-com-mais-de-7-mil-metros-quadrados-1.526972","Novo espaço"
"Aquário de Santos ganha previsão de reabertura após mais de um ano fechado","https://www.atribuna.com.br/cidades/santos/aquario-de-santos-ganha-previs-o-de-reabertura-apos-mais-de-um-ano-fechado-1.526816","PONTA DA PRAIA"
"Ela passou mal no vestibular de Medicina; 10 anos depois, é médica em Santos","https://www.atribuna.com.br/cidades/santos/ela-passou-mal-no-vestibular-de-medicina-10-anos-depois-e-medica-em-santos-1.526803","HISTÓRIA DE SUPERAÇÃO"
"VLT de Santos seguirá gratuito até instalação de portas automáticas; veja previsão","https://www.atribuna.com.br/cidades/santos/vlt-de-santos-seguira-gratuito-ate-instalac-o-de-portas-automaticas-veja-previs-o-1.526827","MOBILIDADE"
"Idosa cai após guarda-corpo ceder durante exercício em Santos, no litoral de São Paulo","https://www.atribuna.com.br/cidades/santos/idosa-cai-apos-guarda-corpo-ceder-durante-exercicio-em-santos-no-litoral-de-s-o-paulo-1.526641","SUSTO NA ORLA"
"Santos abre inscrição para curso gratuito visando geração de trabalho e renda no setor portuário","https://www.atribuna.com.br/cidades/santos/santos-abre-inscric-o-para-curso-gratuito-visando-gerac-o-de-trabalho-e-renda-no-setor-portuario-1.526658","Qualificação"
